w_sla,w_drop,policy,scenario,seed,mean_reward,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms,guardrail_intervention_rate
0.25,0.5,static_equal,burst,102,0.19062313818865442,0.0,2.661359340253915,3.3925483282844473,0.0
0.25,0.5,static_equal,ramp,100,0.2798911544442255,0.0,2.9287886320373016,2.526728700100383,0.0
0.25,0.5,static_equal,ramp,101,0.28149590832765664,0.0,2.8975205928722274,2.536807776822698,0.0
0.25,0.5,static_equal,ramp,102,0.27631844820122653,0.0,2.9018801010636865,2.537603211412665,0.0
0.25,0.5,static_equal,sawtooth,100,0.31898854253406245,0.0,3.0121610446016285,3.2987672210325774,0.0
0.25,0.5,static_equal,sawtooth,101,0.3218245021324071,0.0,2.9950740655246606,3.289924767956022,0.0
0.25,0.5,static_equal,sawtooth,102,0.3200873925462144,0.0,3.008194130571307,3.356470848367056,0.0
0.25,0.5,threshold,adversarial,100,0.2828852427992219,0.03333333333333333,4.8832488991682705,3.8319866141594794,0.040740740740740744
0.25,0.5,threshold,adversarial,101,0.30430811758261694,0.02962962962962963,4.967442341304454,4.624337027824596,0.02962962962962963
0.25,0.5,threshold,adversarial,102,0.2897722159959136,0.02962962962962963,4.957057590422353,3.8162045194398626,0.02962962962962963
0.25,0.5,threshold,burst,100,0.16475942630584892,0.014814814814814815,2.7736888799912043,5.247695647402504,0.037037037037037035
0.25,0.5,threshold,burst,101,0.16340435834567613,0.014814814814814815,2.788924174004335,5.265976613934069,0.037037037037037035
0.25,0.5,threshold,burst,102,0.16799648033415437,0.014814814814814815,2.796853762684271,5.328117909824268,0.044444444444444446
0.25,0.5,threshold,ramp,100,0.343815284217663,0.0,3.3999737342753846,4.214598528794499,0.037037037037037035
0.25,0.5,threshold,ramp,101,0.33109529194399767,0.003703703703703704,3.3375831689658244,4.198676597750054,0.03333333333333333
0.25,0.5,threshold,ramp,102,0.33783129789163596,0.0,3.3654325221508907,4.1903288488059856,0.02962962962962963
0.25,0.5,threshold,sawtooth,100,0.3434963201677992,0.018518518518518517,3.5135522107160293,5.300167895106024,0.08888888888888889
0.25,0.5,threshold,sawtooth,101,0.3734395905628985,0.007407407407407408,3.542093561839008,5.234362730394207,0.08148148148148149
0.25,0.5,threshold,sawtooth,102,0.34557744790617984,0.018518518518518517,3.5335246483879126,5.409917894466877,0.09259259259259259
0.25,0.5,linucb,adversarial,100,0.2066331102046671,0.040740740740740744,4.337542294345714,5.0239990836131305,0.16296296296296298
0.25,0.5,linucb,adversarial,101,0.2115550640727911,0.044444444444444446,4.467280018120762,5.809213171920344,0.1814814814814815
0.25,0.5,linucb,adversarial,102,0.22509159600129064,0.040740740740740744,4.588056697601268,5.872569050466628,0.1962962962962963
0.25,0.5,linucb,burst,100,0.1844764294574833,0.007407407407407408,2.8016715751534327,5.23964161617572,0.037037037037037035
0.25,0.5,linucb,burst,101,0.18747707623725343,0.007407407407407408,2.859065093002884,5.333257864369412,0.044444444444444446
0.25,0.5,linucb,burst,102,0.17067182291485516,0.011111111111111112,2.8023816089124405,5.584017521203011,0.18888888888888888
0.25,0.5,linucb,ramp,100,0.32719632642339513,0.003703703703703704,3.3607685831487393,5.549423440318327,0.3851851851851852
0.25,0.5,linucb,ramp,101,0.327201221728421,0.003703703703703704,3.344421219544334,5.528638140932091,0.43333333333333335
0.25,0.5,linucb,ramp,102,0.3173852537759667,0.003703703703703704,3.311733785436954,5.599899781035152,0.43333333333333335
0.25,0.5,linucb,sawtooth,100,0.345941414712538,0.014814814814814815,3.4534578745804425,5.226702872911929,0.2111111111111111
0.25,0.5,linucb,sawtooth,101,0.3596712513837089,0.007407407407407408,3.3989879564139676,5.250765374294915,0.07407407407407407
0.25,0.5,linucb,sawtooth,102,0.35285180539130073,0.011111111111111112,3.4249791704023607,5.224381080279238,0.04814814814814815
0.25,1.0,static_safe,adversarial,100,-0.3890552896813632,0.0,2.0,3.2009041157100344,0.0
0.25,1.0,static_safe,adversarial,101,-0.3911359495295198,0.0,2.0,3.013786333761693,0.0
0.25,1.0,static_safe,adversarial,102,-0.42108144315106927,0.0,2.0,2.9657279839046975,0.0
